Index,uv,dv,ubar,dbar,u,d
118,0.00021994650747180443,0.0006079459170028608,3.212423309473324e-07,2.7013205153680853e-07,0.00022026774980275177,0.0006082160490543977
119,0.0002221095590964371,0.0006106067963583895,3.278437324841537e-07,2.75685758898835e-07,0.00022243740282892126,0.0006108824821172883
120,0.0002275124807492324,0.0006172111175234606,3.445423624862049e-07,2.8973550901622096e-07,0.0002278570231117186,0.0006175008530324768
121,0.0002307612720422384,0.0006211568449920992,3.5472130079594844e-07,2.9830073066985914e-07,0.00023111599334303435,0.0006214551457227691
122,0.00023220841116695663,0.0006229089961649748,3.592874461113209e-07,3.0214322239155243e-07,0.00023256769861306793,0.0006232111393873663
123,0.00023593572716347914,0.0006274080065325619,3.7113630064489526e-07,3.121149447176651e-07,0.00023630686346412402,0.0006277201214772795
124,0.0002586693684309829,0.0006541286352602976,4.4673786863171424e-07,3.7575906587173255e-07,0.0002591161062996146,0.0006545043943261694
125,0.0002609961711287772,0.0006568051060014233,4.5478116632140093e-07,3.825322317428206e-07,0.0002614509522950986,0.0006571876382331661
126,0.0002635649502125372,0.0006597504849429197,4.6372098386602347e-07,3.900608239467595e-07,0.0002640286711964032,0.0006601405457668664
127,0.00027972970062134473,0.0006781046389868271,5.213253218862001e-07,4.385842046367018e-07,0.00028025102594323093,0.0006785432231914638
128,0.00028097745610775304,0.0006795112761157641,5.258621673625754e-07,4.4240677456894557e-07,0.00028150331827511563,0.000679953682890333
129,0.0002833122427015979,0.0006821404187300077,5.343839675209052e-07,4.495872861448347e-07,0.0002838466266691188,0.0006825900060161526
130,0.00028418408586557316,0.0006831212595351855,5.375768314283188e-07,4.5227773527934047e-07,0.0002847216626970015,0.0006835735372704648
131,0.00032053444673921445,0.0007235437084624484,6.758744445344863e-07,5.688764581369071e-07,0.0003212103211837489,0.0007241125849205853
132,0.000322284187036353,0.0007254581803665531,6.828039424704155e-07,5.747216917456327e-07,0.0003229669909788234,0.0007260329020582988
133,0.00033665682445535106,0.000741103545850682,7.405938419410774e-07,6.234801543614786e-07,0.0003373974182972921,0.0007417270260050436
134,0.0003487220375239503,0.0007541554771355755,7.902171690053895e-07,6.653642004972911e-07,0.0003495122546929557,0.0007548208413360728
135,0.0003635502403544252,0.0007701380620722469,8.524489944209213e-07,7.179113749246942e-07,0.0003644026893488461,0.0007708559734471716
136,0.00036828944698104934,0.0007752389398459301,8.72604849211017e-07,7.349356014123856e-07,0.0003691620518302604,0.0007759738754473424
137,0.00036995763036356736,0.0007770340032194332,8.797286341062315e-07,7.409531554019761e-07,0.0003708373589976736,0.0007777749563748352
138,0.00037585911207305465,0.0007833834297254059,9.050476224880177e-07,7.623429611810153e-07,0.0003767641596955427,0.0007841457726865869
139,0.0003823449272831918,0.000790361520374996,9.330772157938787e-07,7.860273306539047e-07,0.0003832780044989857,0.0007911475477056499
140,0.0004096866460007205,0.0008196389963691479,1.0539612859311167e-06,8.88221661285058e-07,0.0004107406072866516,0.0008205272180304329
141,0.00041584656281316043,0.0008261914734471635,1.0818343580243953e-06,9.117961233845211e-07,0.00041692839717118483,0.000827103269570548
142,0.00042045538969244257,0.0008310862518764049,1.1028318527802503e-06,9.295580525228389e-07,0.0004215582215452228,0.0008320158099289277
143,0.0004233161642426424,0.0008341215718025777,1.115925257006787e-06,9.406350266395662e-07,0.0004244320894996492,0.0008350622068292173
144,0.0004333019011583348,0.0008447016320234392,1.1619762691399847e-06,9.796011826954979e-07,0.00043446387742747476,0.0008456812332061348
145,0.0004356209798533169,0.0008471559097523084,1.1727461609317038e-06,9.88715759896843e-07,0.00043679372601424866,0.0008481446255122052
146,0.00045362707814022347,0.0008661867702544337,1.2572747528173484e-06,1.0602737211784037e-06,0.0004548843528930408,0.0008672470439756121
147,0.0004925954596351096,0.0009073248345910807,1.4451375394278385e-06,1.2194451553362178e-06,0.0004940405971745374,0.000908544279746417
148,0.0005024892351334653,0.000917778309204,1.4937820963062122e-06,1.2606909875926167e-06,0.0005039830172297715,0.0009190390001915927
149,0.0005303160651001932,0.0009471232616039456,1.632859111507761e-06,1.378677974158695e-06,0.000531948924211701,0.0009485019395781043
150,0.0006060054250909003,0.0010263878763315517,2.0277815826855463e-06,1.7141901884858717e-06,0.0006080332066735858,0.0010281020665200377
151,0.0006134980641660086,0.0010342164809004702,2.068014906469511e-06,1.748410421610542e-06,0.0006155660790724782,0.0010359648913220807
152,0.0006269982546544723,0.001048320993830934,2.140962964374762e-06,1.810474487078907e-06,0.0006291392176188471,0.0010501314683180128
153,0.000643163671963287,0.001065211503738252,2.229049372410667e-06,1.885449927028694e-06,0.0006453927213356976,0.0010670969536652807
154,0.000647315653035856,0.0010695504217320803,2.251798160590329e-06,1.904818357673676e-06,0.0006495674511964463,0.001071455240089754
155,0.0006515869227157978,0.001074014419003104,2.275252033689701e-06,1.9247895122432037e-06,0.0006538621747494875,0.0010759392085153473
156,0.0006613175030770694,0.001084185949590396,2.3288743077671433e-06,1.9704584771563657e-06,0.0006636463773848365,0.0010861564080675524
157,0.0006622430870989293,0.0010851536305875984,2.3339885007538075e-06,1.9748147946064364e-06,0.000664577075599683,0.0010871284453822048
158,0.0006686387308937693,0.001091840968769547,2.369389999725034e-06,2.004973301650089e-06,0.0006710081208934943,0.001093845942071197
159,0.000679021806708729,0.0011026959607407874,2.4271217296478476e-06,2.054166359093509e-06,0.0006814489284383769,0.0011047501270998808
160,0.0006958852826879625,0.0011202963794780807,2.521702158835873e-06,2.1347860939080995e-06,0.0006984069848467983,0.0011224311655719888
161,0.0007252932834030652,0.001150912906221615,2.6889556087817457e-06,2.277436095694376e-06,0.000727982239011847,0.0011531903423173094
162,0.000732614713423403,0.001158522511429008,2.7310306074116893e-06,2.313338604633381e-06,0.0007353457440308146,0.0011608358500336414
163,0.0007545166518734847,0.0011812616967323767,2.857880191357278e-06,2.4216198762551254e-06,0.000757374532064842,0.001183683316608632
164,0.0007643433628971754,0.0011914534692040039,2.9152561366708166e-06,2.4706171404158386e-06,0.0007672586190338463,0.0011939240863444197
165,0.0007687127823571875,0.0011959833582770895,2.9408573360877877e-06,2.49248377809582e-06,0.0007716536396932752,0.0011984758420551854
166,0.0008392343989138394,0.0012689769446310158,3.3611278782039727e-06,2.8517986045683464e-06,0.0008425955267920434,0.0012718287432355842
167,0.0008521170747013814,0.0012822939253167858,3.4392407612137903e-06,2.9186543428928065e-06,0.0008555563154625951,0.0012852125796596785
168,0.0009292080786343918,0.0013618954120694577,3.914559463144046e-06,3.3259486306158495e-06,0.0009331226380975358,0.0013652213607000736
169,0.0009709116575054263,0.0014047901662100795,4.1778519638825615e-06,3.551885604616873e-06,0.0009750895094693088,0.0014083420518146963
170,0.0010179816364245234,0.001453049449061871,4.480094275519768e-06,3.8115181173191483e-06,0.0010224617307000431,0.00145686096717919
171,0.0010331255694990135,0.0014685450227622254,4.5784134546423084e-06,3.89603819320603e-06,0.0010377039829536558,0.0014724410609554314
172,0.0010658080772284362,0.0015019398807633348,4.792297415793466e-06,4.080007158848737e-06,0.0010706003746442296,0.0015060198879221834
173,0.001070019506877645,0.0015062387057809,4.820022547264026e-06,4.1038648316891534e-06,0.001074839529424909,0.0015103425706125893
174,0.0011027442995420519,0.0015396104814836187,5.0366929539438325e-06,4.290392269326568e-06,0.0011077809924959958,0.0015439008737529452
175,0.0011075517232188874,0.001544508321672792,5.068703067480122e-06,4.317961287860722e-06,0.0011126204262863675,0.0015488262829606526
176,0.001112802492222772,0.0015498565371957105,5.103716820352413e-06,4.348120775345689e-06,0.0011179062090431245,0.0015542046579710561
177,0.001149486220337147,0.0015871842601022997,5.349805468711647e-06,4.560196246120182e-06,0.0011548360258058588,0.00159174445634842
178,0.0011590427974951475,0.0015968984134237993,5.414326692927175e-06,4.615829693904104e-06,0.0011644571241880746,0.0016015142431177035
179,0.0012081595936643107,0.0016467625321646962,5.74850841625512e-06,4.904175617355545e-06,0.0012139081020805659,0.0016516667077820517
180,0.001373791389111074,0.001813832112923093,6.909013438508937e-06,5.907898668095247e-06,0.001380700402549583,0.0018197400115911883
181,0.0013753800561339322,0.0018154257201469127,6.920393442261507e-06,5.917758700095328e-06,0.0013823004495761937,0.001821343478847008
182,0.001494426850785745,0.0019344031337481596,7.785443097659947e-06,6.6682227441590705e-06,0.0015022122938834048,0.0019410713564923187
183,0.0015178295400041142,0.0019576937208311057,7.958230306443708e-06,6.818344221879511e-06,0.001525787770310558,0.001964512065052985
184,0.001522123003272482,0.0019619632213827886,7.9900232472574e-06,6.845974564911885e-06,0.0015301130265197394,0.0019688091959477005
185,0.0015497425636925874,0.0019894037388494927,8.195226418558065e-06,7.024369583176193e-06,0.0015579377901111455,0.001996428108432669
186,0.0015540820610555907,0.0019937112168917563,8.227573414794479e-06,7.052499949683536e-06,0.0015623096344703853,0.00200076371684144
187,0.0015659250248168635,0.0020054614679482345,8.315996808514609e-06,7.129409598210527e-06,0.0015742410216253782,0.002012590877546445
188,0.0015876294058997569,0.0020269758339439667,8.478593599905897e-06,7.2708830824952995e-06,0.0015961079994996628,0.002034246717026462
189,0.0015971608647859204,0.002036415692286878,8.550218051716793e-06,7.333222554149643e-06,0.0016057110828376373,0.0020437489148410278
190,0.0016222443840307884,0.0020612345993421518,8.739341652514379e-06,7.4978874347782545e-06,0.0016309837256833029,0.00206873248677693
191,0.0016272569774980537,0.00206619024922343,8.777244171080852e-06,7.530898255406942e-06,0.0016360342216691346,0.002073721147478837
192,0.0016476407877178748,0.0020863286654458284,8.931743951721961e-06,7.665493030382664e-06,0.0016565725316695968,0.002093994158476211
